flow_id,src_ip,dst_ip,dst_port,is_malicious,beacon_type,mitre_technique_id,dst_domain
flow_001160,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001806,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001064,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001065,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001161,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001807,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_001066,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001067,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001162,10.88.148.232,23.90.4.136,123,0,none,,pool.ntp.org
flow_001808,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_001809,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001068,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001069,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_000601,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000602,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001810,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_001070,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001811,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_000603,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001812,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000604,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001071,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001813,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001072,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_000605,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001814,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001073,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001815,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_000606,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001074,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001816,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001075,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_000607,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001817,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001076,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_000608,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001818,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_000609,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000610,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001077,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_000611,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001078,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001819,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_001079,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001080,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001081,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_001082,10.212.31.74,20.216.11.139,443,0,none,,example.com
flow_000612,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_003558,10.39.24.41,198.79.4.172,443,1,evasive,T1071.001;T1029,cdn-delivery-api.com
flow_001820,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_000613,10.157.168.220,34.187.49.144,80,0,none,,
flow_001821,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000614,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001822,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000615,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000616,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001823,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001824,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_000617,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001825,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000618,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001826,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000619,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001827,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_000620,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001828,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000621,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001829,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001830,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000622,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001831,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001832,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000623,10.157.168.220,34.187.49.144,80,0,none,,
flow_000624,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001833,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_000625,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001834,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000626,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001835,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001836,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000627,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001837,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_000628,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000629,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001838,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_000630,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000631,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001839,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_000632,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000633,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000634,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001840,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_001967,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_000635,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000636,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000637,10.157.168.220,34.187.49.144,80,0,none,,
flow_001968,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001841,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001969,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001970,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_000638,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000639,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001842,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000640,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000641,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001971,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_000642,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000643,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000644,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001972,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001843,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_001973,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001844,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001974,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_000645,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000646,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000647,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000648,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001975,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001845,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001976,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001977,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001846,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_001978,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_000649,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_000650,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_003559,10.39.24.41,198.79.4.172,443,1,evasive,T1071.001;T1029,
flow_001979,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001847,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001980,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001981,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001848,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000651,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001420,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001982,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001849,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001983,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001421,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001984,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001850,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_000652,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001985,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001422,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_001851,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_001986,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_000653,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001423,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_001987,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001988,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_000654,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001852,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_001989,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_000655,10.157.168.220,34.187.49.144,80,0,none,,example.com
flow_001424,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_001990,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001853,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_001991,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001425,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001992,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001854,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001993,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001426,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001994,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001855,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001995,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001427,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_001996,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001856,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001997,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001428,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_001998,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001857,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_001999,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001429,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_002000,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001858,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_002001,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001430,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_002002,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001859,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_001431,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_002003,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001860,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_002004,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_002005,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001432,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_001861,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_002006,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_002007,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001433,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_001862,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_002008,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001434,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_002009,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001863,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_002010,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_000922,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_000923,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_001435,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_001864,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_002011,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001436,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_002012,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_000924,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_001865,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_002013,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_000362,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_001437,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_000925,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_002014,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001866,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_002015,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001438,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_000363,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_000364,10.34.150.224,185.84.100.226,80,0,none,,
flow_001867,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_002016,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_000365,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_000366,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_000926,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_000927,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_002017,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001439,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_000928,10.9.208.63,172.242.190.185,443,0,none,,
flow_001868,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,
flow_002018,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_000367,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_001440,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_000368,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_002019,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001869,10.216.93.119,20.223.85.20,4444,1,fixed,T1071.001,evil-c2-framework.com
flow_000929,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_002020,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001441,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_002021,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_000930,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_000931,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_000932,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_002022,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_000369,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_000933,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_001442,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_000934,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_000370,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_003560,10.39.24.41,198.79.4.172,443,1,evasive,T1071.001;T1029,
flow_002023,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_000935,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_000371,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_002024,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001443,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_002025,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_000372,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_000936,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_000373,10.34.150.224,185.84.100.226,80,0,none,,
flow_000374,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_001444,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,
flow_002026,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_002027,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_001445,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_000937,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_000375,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_002028,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_002029,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,sneaky-update-service.com
flow_001446,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_002030,10.189.69.205,104.46.215.251,443,1,jittered,T1071.001;T1573,
flow_000938,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_000376,10.34.150.224,185.84.100.226,80,0,none,,example.com
flow_000939,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_001447,10.196.75.233,104.87.49.180,443,1,fixed,T1071.001,evil-c2-framework.com
flow_000940,10.9.208.63,172.242.190.185,443,0,none,,example.com
flow_000941,10.9.208.63,172.242.190.185,443,0,none,,
