flow_id,src_ip,dst_ip,dst_port,timestamp,packet_size,protocol,connection_duration,bytes_sent,bytes_received,is_failed,has_dns_lookup,dst_domain
flow_001782,10.35.98.35,20.121.104.106,443,2024-01-15T00:26:34.320360+0000,346,TCP,0.368,195,146,0.0,1,evil-c2-framework.com
flow_001175,10.85.87.178,104.253.55.197,123,2024-01-15T00:27:16.348309+0000,71,UDP,0.0536,37,28,0.0,1,pool.ntp.org
flow_001783,10.35.98.35,20.121.104.106,443,2024-01-15T00:27:33.458206+0000,346,TCP,2.456,178,169,0.0,0,
flow_001176,10.85.87.178,104.253.55.197,123,2024-01-15T00:28:19.348309+0000,84,UDP,0.0672,50,35,0.0,1,pool.ntp.org
flow_001784,10.35.98.35,20.121.104.106,443,2024-01-15T00:28:33.151184+0000,351,TCP,1.901,143,188,0.0,0,
flow_001177,10.85.87.178,104.253.55.197,123,2024-01-15T00:29:23.533576+0000,67,UDP,0.0481,23,40,0.0,1,pool.ntp.org
flow_001785,10.35.98.35,20.121.104.106,443,2024-01-15T00:29:31.489921+0000,358,TCP,4.684,219,135,0.0,0,
flow_001178,10.85.87.178,104.253.55.197,123,2024-01-15T00:30:28.094020+0000,60,UDP,0.0536,32,27,0.0,1,pool.ntp.org
flow_001786,10.35.98.35,20.121.104.106,443,2024-01-15T00:30:33.426058+0000,352,TCP,2.711,106,258,0.0,0,
flow_001179,10.85.87.178,104.253.55.197,123,2024-01-15T00:31:32.014420+0000,50,UDP,0.0258,24,24,0.0,1,pool.ntp.org
flow_001787,10.35.98.35,20.121.104.106,443,2024-01-15T00:31:35.379047+0000,347,TCP,4.963,140,193,0.0,0,
flow_001180,10.85.87.178,104.253.55.197,123,2024-01-15T00:32:35.514318+0000,49,UDP,0.0265,17,30,0.0,1,pool.ntp.org
flow_001788,10.35.98.35,20.121.104.106,443,2024-01-15T00:32:38.029989+0000,347,TCP,3.821,103,233,0.0,1,evil-c2-framework.com
flow_001789,10.35.98.35,20.121.104.106,443,2024-01-15T00:33:38.605818+0000,333,TCP,3.303,173,162,0.0,0,
flow_001181,10.85.87.178,104.253.55.197,123,2024-01-15T00:33:39.652104+0000,70,UDP,0.0362,31,35,0.0,1,pool.ntp.org
flow_001143,10.88.148.232,23.90.4.136,123,2024-01-15T00:34:01.451031+0000,81,UDP,0.0247,38,43,0.0,1,pool.ntp.org
flow_001790,10.35.98.35,20.121.104.106,443,2024-01-15T00:34:40.633533+0000,322,TCP,0.59,135,177,0.0,1,evil-c2-framework.com
flow_001182,10.85.87.178,104.253.55.197,123,2024-01-15T00:34:43.367199+0000,73,UDP,0.0732,18,52,0.0,1,pool.ntp.org
flow_001144,10.88.148.232,23.90.4.136,123,2024-01-15T00:35:06.137253+0000,67,UDP,0.0916,39,24,0.0,0,
flow_001791,10.35.98.35,20.121.104.106,443,2024-01-15T00:35:40.206312+0000,348,TCP,0.257,189,175,0.0,0,
flow_001145,10.88.148.232,23.90.4.136,123,2024-01-15T00:36:09.842894+0000,88,UDP,0.0687,56,31,0.0,1,pool.ntp.org
flow_001792,10.35.98.35,20.121.104.106,443,2024-01-15T00:36:40.847727+0000,352,TCP,4.774,147,193,0.0,0,
flow_001146,10.88.148.232,23.90.4.136,123,2024-01-15T00:37:13.647715+0000,58,UDP,0.0414,30,26,0.0,1,pool.ntp.org
flow_001793,10.35.98.35,20.121.104.106,443,2024-01-15T00:37:40.350050+0000,348,TCP,0.979,98,237,0.0,0,
flow_001147,10.88.148.232,23.90.4.136,123,2024-01-15T00:38:17.080245+0000,54,UDP,0.0244,30,19,0.0,1,pool.ntp.org
flow_001794,10.35.98.35,20.121.104.106,443,2024-01-15T00:38:38.462699+0000,336,TCP,4.128,132,212,1.0,0,
flow_001148,10.88.148.232,23.90.4.136,123,2024-01-15T00:39:20.901314+0000,71,UDP,0.0932,37,30,0.0,1,pool.ntp.org
flow_001795,10.35.98.35,20.121.104.106,443,2024-01-15T00:39:40.668818+0000,344,TCP,1.412,179,158,0.0,1,evil-c2-framework.com
flow_001149,10.88.148.232,23.90.4.136,123,2024-01-15T00:40:24.771557+0000,70,UDP,0.0166,43,26,0.0,1,pool.ntp.org
flow_001796,10.35.98.35,20.121.104.106,443,2024-01-15T00:40:40.317071+0000,346,TCP,0.109,176,147,0.0,0,
flow_001150,10.88.148.232,23.90.4.136,123,2024-01-15T00:41:28.972433+0000,77,UDP,0.0488,43,31,0.0,1,pool.ntp.org
flow_001797,10.35.98.35,20.121.104.106,443,2024-01-15T00:41:41.601930+0000,347,TCP,1.965,182,136,0.0,1,evil-c2-framework.com
flow_001151,10.88.148.232,23.90.4.136,123,2024-01-15T00:42:32.793465+0000,75,UDP,0.0481,40,34,0.0,1,pool.ntp.org
flow_001798,10.35.98.35,20.121.104.106,443,2024-01-15T00:42:40.660282+0000,342,TCP,4.518,167,180,0.0,1,evil-c2-framework.com
flow_001152,10.88.148.232,23.90.4.136,123,2024-01-15T00:43:36.863396+0000,79,UDP,0.0799,29,48,0.0,1,pool.ntp.org
flow_001799,10.35.98.35,20.121.104.106,443,2024-01-15T00:43:40.674544+0000,329,TCP,1.245,143,173,0.0,0,
flow_001800,10.35.98.35,20.121.104.106,443,2024-01-15T00:44:39.361720+0000,331,TCP,2.884,148,182,0.0,0,
flow_001153,10.88.148.232,23.90.4.136,123,2024-01-15T00:44:41.659456+0000,51,UDP,0.0975,19,32,0.0,1,pool.ntp.org
flow_001801,10.35.98.35,20.121.104.106,443,2024-01-15T00:45:38.753191+0000,362,TCP,3.152,186,183,0.0,0,
flow_001154,10.88.148.232,23.90.4.136,123,2024-01-15T00:45:45.731141+0000,64,UDP,0.051,26,31,0.0,1,pool.ntp.org
flow_001802,10.35.98.35,20.121.104.106,443,2024-01-15T00:46:38.270549+0000,335,TCP,1.558,179,146,0.0,1,evil-c2-framework.com
flow_001155,10.88.148.232,23.90.4.136,123,2024-01-15T00:46:49.685300+0000,82,UDP,0.0887,48,25,0.0,1,pool.ntp.org
flow_001156,10.88.148.232,23.90.4.136,123,2024-01-15T00:47:53.258183+0000,89,UDP,0.0284,46,44,0.0,1,pool.ntp.org
flow_001157,10.88.148.232,23.90.4.136,123,2024-01-15T00:48:57.458335+0000,81,UDP,0.071,59,22,0.0,1,pool.ntp.org
flow_001803,10.216.93.119,20.223.85.20,4444,2024-01-15T00:49:11.744204+0000,500,TCP,0.516,256,244,0.0,0,
flow_001158,10.88.148.232,23.90.4.136,123,2024-01-15T00:50:00.970148+0000,90,UDP,0.0715,67,26,0.0,1,pool.ntp.org
flow_001804,10.216.93.119,20.223.85.20,4444,2024-01-15T00:50:13.598124+0000,481,TCP,4.842,205,271,0.0,0,
flow_001060,10.212.31.74,20.216.11.139,443,2024-01-15T00:50:52.363651+0000,6174,TCP,1.552,2536,3308,0.0,1,example.com
flow_001159,10.88.148.232,23.90.4.136,123,2024-01-15T00:51:04.633048+0000,69,UDP,0.0991,40,28,0.0,1,pool.ntp.org
flow_001061,10.212.31.74,20.216.11.139,443,2024-01-15T00:51:13.311924+0000,6723,TCP,23.056,2106,4513,0.0,1,example.com
flow_001062,10.212.31.74,20.216.11.139,443,2024-01-15T00:51:15.525300+0000,278,TCP,12.047,69,188,0.0,1,example.com
flow_001805,10.216.93.119,20.223.85.20,4444,2024-01-15T00:51:15.585919+0000,487,TCP,1.892,304,161,0.0,0,
flow_001063,10.212.31.74,20.216.11.139,443,2024-01-15T00:51:17.896644+0000,13660,TCP,14.936,5600,8715,0.0,1,example.com
flow_001160,10.88.148.232,23.90.4.136,123,2024-01-15T00:52:08.911062+0000,86,UDP,0.0728,46,40,0.0,1,pool.ntp.org
flow_001806,10.216.93.119,20.223.85.20,4444,2024-01-15T00:52:17.593187+0000,501,TCP,3.6,164,327,0.0,0,
flow_001064,10.212.31.74,20.216.11.139,443,2024-01-15T00:53:02.099686+0000,328,TCP,5.195,158,195,0.0,1,example.com
flow_001065,10.212.31.74,20.216.11.139,443,2024-01-15T00:53:09.215238+0000,3309,TCP,16.637,1033,2286,0.0,1,example.com
flow_001161,10.88.148.232,23.90.4.136,123,2024-01-15T00:53:12.125863+0000,61,UDP,0.0835,27,34,0.0,1,pool.ntp.org
flow_001807,10.216.93.119,20.223.85.20,4444,2024-01-15T00:53:17.935995+0000,494,TCP,3.482,175,361,0.0,1,evil-c2-framework.com
flow_001066,10.212.31.74,20.216.11.139,443,2024-01-15T00:54:02.056319+0000,2542,TCP,3.262,1200,1351,0.0,1,example.com
flow_001067,10.212.31.74,20.216.11.139,443,2024-01-15T00:54:08.061153+0000,1087,TCP,27.783,321,737,0.0,1,example.com
flow_001162,10.88.148.232,23.90.4.136,123,2024-01-15T00:54:16.197130+0000,74,UDP,0.0341,44,30,0.0,1,pool.ntp.org
flow_001808,10.216.93.119,20.223.85.20,4444,2024-01-15T00:54:17.386650+0000,469,TCP,4.973,204,248,0.0,1,evil-c2-framework.com
flow_001809,10.216.93.119,20.223.85.20,4444,2024-01-15T00:55:15.402566+0000,506,TCP,1.377,265,223,0.0,0,
flow_001068,10.212.31.74,20.216.11.139,443,2024-01-15T00:55:32.008123+0000,3896,TCP,6.152,650,3525,0.0,1,example.com
flow_001069,10.212.31.74,20.216.11.139,443,2024-01-15T00:55:34.989266+0000,9767,TCP,10.442,953,9162,0.0,1,example.com
flow_000601,10.157.168.220,34.187.49.144,80,2024-01-15T00:55:45.687703+0000,5024,TCP,3.932,700,4600,0.0,1,example.com
flow_000602,10.157.168.220,34.187.49.144,80,2024-01-15T00:55:50.282423+0000,10810,TCP,21.53,3500,7392,0.0,1,example.com
flow_001810,10.216.93.119,20.223.85.20,4444,2024-01-15T00:56:14.092195+0000,473,TCP,1.033,215,238,0.0,1,evil-c2-framework.com
flow_001070,10.212.31.74,20.216.11.139,443,2024-01-15T00:56:50.336795+0000,7656,TCP,0.417,1902,5554,0.0,1,example.com
flow_001811,10.216.93.119,20.223.85.20,4444,2024-01-15T00:57:14.544644+0000,490,TCP,3.619,304,196,0.0,1,evil-c2-framework.com
flow_000603,10.157.168.220,34.187.49.144,80,2024-01-15T00:57:28.351401+0000,8852,TCP,0.382,1835,7343,0.0,1,example.com
flow_001812,10.216.93.119,20.223.85.20,4444,2024-01-15T00:58:15.402479+0000,522,TCP,3.858,182,347,0.0,0,
flow_000604,10.157.168.220,34.187.49.144,80,2024-01-15T00:58:39.175326+0000,1196,TCP,26.929,316,836,0.0,1,example.com
flow_001071,10.212.31.74,20.216.11.139,443,2024-01-15T00:58:42.038005+0000,3537,TCP,6.143,2218,1409,0.0,1,example.com
flow_001813,10.216.93.119,20.223.85.20,4444,2024-01-15T00:59:13.889940+0000,505,TCP,0.907,190,312,0.0,0,
flow_001072,10.212.31.74,20.216.11.139,443,2024-01-15T00:59:30.519078+0000,12913,TCP,3.32,4127,8667,0.0,1,example.com
flow_000605,10.157.168.220,34.187.49.144,80,2024-01-15T01:00:08.624907+0000,897,TCP,21.356,289,651,0.0,1,example.com
flow_001814,10.216.93.119,20.223.85.20,4444,2024-01-15T01:00:12.043398+0000,522,TCP,3.377,267,233,0.0,0,
flow_001073,10.212.31.74,20.216.11.139,443,2024-01-15T01:00:28.870618+0000,1797,TCP,26.749,748,1198,0.0,1,example.com
flow_001815,10.216.93.119,20.223.85.20,4444,2024-01-15T01:01:10.676188+0000,497,TCP,3.51,185,309,0.0,1,evil-c2-framework.com
flow_000606,10.157.168.220,34.187.49.144,80,2024-01-15T01:01:27.212030+0000,1217,TCP,13.343,119,1065,0.0,1,example.com
flow_001074,10.212.31.74,20.216.11.139,443,2024-01-15T01:01:53.644414+0000,696,TCP,23.847,183,539,0.0,1,example.com
flow_001816,10.216.93.119,20.223.85.20,4444,2024-01-15T01:02:10.942702+0000,500,TCP,1.325,246,252,0.0,0,
flow_001075,10.212.31.74,20.216.11.139,443,2024-01-15T01:02:39.239299+0000,4411,TCP,8.256,1076,3371,0.0,1,example.com
flow_000607,10.157.168.220,34.187.49.144,80,2024-01-15T01:03:02.928683+0000,1072,TCP,9.179,238,759,0.0,1,example.com
flow_001817,10.216.93.119,20.223.85.20,4444,2024-01-15T01:03:10.990280+0000,490,TCP,4.864,305,232,0.0,0,
flow_001076,10.212.31.74,20.216.11.139,443,2024-01-15T01:03:26.650658+0000,724,TCP,24.587,250,504,0.0,1,example.com
flow_000608,10.157.168.220,34.187.49.144,80,2024-01-15T01:03:45.498792+0000,10728,TCP,1.538,3748,7056,0.0,1,example.com
flow_001818,10.216.93.119,20.223.85.20,4444,2024-01-15T01:04:11.065813+0000,500,TCP,3.512,277,233,0.0,1,evil-c2-framework.com
flow_000609,10.157.168.220,34.187.49.144,80,2024-01-15T01:04:24.391423+0000,8790,TCP,2.53,2894,6334,0.0,1,example.com
flow_000610,10.157.168.220,34.187.49.144,80,2024-01-15T01:04:28.701351+0000,3203,TCP,27.365,520,2722,0.0,1,example.com
flow_001077,10.212.31.74,20.216.11.139,443,2024-01-15T01:04:32.730141+0000,10269,TCP,14.35,4069,6615,0.0,1,example.com
flow_000611,10.157.168.220,34.187.49.144,80,2024-01-15T01:04:57.356228+0000,3307,TCP,20.912,1045,2097,0.0,1,example.com
flow_001078,10.212.31.74,20.216.11.139,443,2024-01-15T01:05:02.755006+0000,14652,TCP,0.563,8324,5963,1.0,1,example.com
flow_001819,10.216.93.119,20.223.85.20,4444,2024-01-15T01:05:09.688259+0000,489,TCP,2.119,196,290,0.0,1,evil-c2-framework.com
flow_001079,10.212.31.74,20.216.11.139,443,2024-01-15T01:05:27.631370+0000,14769,TCP,10.167,5290,8644,0.0,1,example.com
flow_001080,10.212.31.74,20.216.11.139,443,2024-01-15T01:05:31.879749+0000,376,TCP,29.583,71,296,0.0,1,example.com
flow_001081,10.212.31.74,20.216.11.139,443,2024-01-15T01:05:36.558657+0000,4517,TCP,10.466,1937,2501,0.0,1,example.com
flow_001082,10.212.31.74,20.216.11.139,443,2024-01-15T01:05:41.545940+0000,7317,TCP,21.65,1896,5408,0.0,1,example.com
flow_000612,10.157.168.220,34.187.49.144,80,2024-01-15T01:05:50.333118+0000,8327,TCP,15.525,1490,7401,0.0,1,example.com
flow_003558,10.39.24.41,198.79.4.172,443,2024-01-15T01:06:05.156924+0000,399,TCP,2.679,154,242,0.0,1,cdn-delivery-api.com
flow_001820,10.216.93.119,20.223.85.20,4444,2024-01-15T01:06:10.521866+0000,496,TCP,1.021,213,274,0.0,1,evil-c2-framework.com
flow_000613,10.157.168.220,34.187.49.144,80,2024-01-15T01:06:44.499669+0000,2764,TCP,17.563,952,1763,0.0,0,
flow_001821,10.216.93.119,20.223.85.20,4444,2024-01-15T01:07:09.422749+0000,486,TCP,4.333,256,261,0.0,0,
flow_000614,10.157.168.220,34.187.49.144,80,2024-01-15T01:07:56.791961+0000,1762,TCP,16.079,675,1185,0.0,1,example.com
flow_001822,10.216.93.119,20.223.85.20,4444,2024-01-15T01:08:12.357382+0000,502,TCP,4.725,177,332,0.0,0,
flow_000615,10.157.168.220,34.187.49.144,80,2024-01-15T01:08:17.432074+0000,12390,TCP,3.007,4130,8285,0.0,1,example.com
flow_000616,10.157.168.220,34.187.49.144,80,2024-01-15T01:08:38.482539+0000,9318,TCP,23.191,2110,7451,0.0,1,example.com
flow_001823,10.216.93.119,20.223.85.20,4444,2024-01-15T01:09:10.483610+0000,500,TCP,1.076,266,248,0.0,0,
flow_001824,10.216.93.119,20.223.85.20,4444,2024-01-15T01:10:13.834872+0000,505,TCP,4.163,196,295,0.0,1,evil-c2-framework.com
flow_000617,10.157.168.220,34.187.49.144,80,2024-01-15T01:10:38.141989+0000,1655,TCP,3.1,620,976,0.0,1,example.com
flow_001825,10.216.93.119,20.223.85.20,4444,2024-01-15T01:11:11.756242+0000,456,TCP,0.79,60,388,0.0,0,
flow_000618,10.157.168.220,34.187.49.144,80,2024-01-15T01:12:01.445897+0000,4973,TCP,27.199,1347,3625,0.0,1,example.com
flow_001826,10.216.93.119,20.223.85.20,4444,2024-01-15T01:12:10.805011+0000,499,TCP,0.48,264,223,0.0,0,
flow_000619,10.157.168.220,34.187.49.144,80,2024-01-15T01:12:11.064271+0000,9268,TCP,20.074,1593,7694,0.0,1,example.com
flow_001827,10.216.93.119,20.223.85.20,4444,2024-01-15T01:13:12.297747+0000,487,TCP,4.674,160,327,0.0,1,evil-c2-framework.com
flow_000620,10.157.168.220,34.187.49.144,80,2024-01-15T01:13:37.470661+0000,1201,TCP,5.576,443,743,0.0,1,example.com
flow_001828,10.216.93.119,20.223.85.20,4444,2024-01-15T01:14:12.626116+0000,509,TCP,4.011,182,290,0.0,0,
flow_000621,10.157.168.220,34.187.49.144,80,2024-01-15T01:15:11.523670+0000,1471,TCP,18.324,188,1355,0.0,1,example.com
flow_001829,10.216.93.119,20.223.85.20,4444,2024-01-15T01:15:13.062385+0000,516,TCP,2.92,134,356,0.0,0,
flow_001830,10.216.93.119,20.223.85.20,4444,2024-01-15T01:16:12.587593+0000,500,TCP,3.672,168,320,0.0,0,
flow_000622,10.157.168.220,34.187.49.144,80,2024-01-15T01:16:44.711496+0000,13990,TCP,14.153,1510,10840,0.0,1,example.com
flow_001831,10.216.93.119,20.223.85.20,4444,2024-01-15T01:17:12.589813+0000,467,TCP,2.562,275,198,0.0,0,
flow_001832,10.216.93.119,20.223.85.20,4444,2024-01-15T01:18:11.796665+0000,494,TCP,2.9,217,250,0.0,0,
flow_000623,10.157.168.220,34.187.49.144,80,2024-01-15T01:18:31.675179+0000,3793,TCP,15.858,1331,2206,0.0,0,
flow_000624,10.157.168.220,34.187.49.144,80,2024-01-15T01:18:41.639388+0000,14916,TCP,14.003,2102,13069,0.0,1,example.com
flow_001833,10.216.93.119,20.223.85.20,4444,2024-01-15T01:19:12.858004+0000,506,TCP,4.483,201,310,0.0,1,evil-c2-framework.com
flow_000625,10.157.168.220,34.187.49.144,80,2024-01-15T01:19:45.257184+0000,12335,TCP,20.752,3291,9120,0.0,1,example.com
flow_001834,10.216.93.119,20.223.85.20,4444,2024-01-15T01:20:14.013481+0000,520,TCP,0.576,88,448,0.0,0,
flow_000626,10.157.168.220,34.187.49.144,80,2024-01-15T01:21:09.514172+0000,6062,TCP,12.477,1992,3919,0.0,1,example.com
flow_001835,10.216.93.119,20.223.85.20,4444,2024-01-15T01:21:14.160149+0000,475,TCP,0.172,233,246,0.0,0,
flow_001836,10.216.93.119,20.223.85.20,4444,2024-01-15T01:22:15.932372+0000,503,TCP,3.536,252,273,0.0,0,
flow_000627,10.157.168.220,34.187.49.144,80,2024-01-15T01:22:51.700590+0000,1125,TCP,22.673,256,860,0.0,1,example.com
flow_001837,10.216.93.119,20.223.85.20,4444,2024-01-15T01:23:13.482403+0000,512,TCP,4.053,161,362,0.0,1,evil-c2-framework.com
flow_000628,10.157.168.220,34.187.49.144,80,2024-01-15T01:23:38.226642+0000,3188,TCP,10.587,583,2743,0.0,1,example.com
flow_000629,10.157.168.220,34.187.49.144,80,2024-01-15T01:23:41.493951+0000,10363,TCP,7.52,4749,6398,0.0,1,example.com
flow_001838,10.216.93.119,20.223.85.20,4444,2024-01-15T01:24:13.167091+0000,484,TCP,0.957,129,372,0.0,1,evil-c2-framework.com
flow_000630,10.157.168.220,34.187.49.144,80,2024-01-15T01:24:54.188065+0000,1626,TCP,26.232,585,988,0.0,1,example.com
flow_000631,10.157.168.220,34.187.49.144,80,2024-01-15T01:25:00.727318+0000,7041,TCP,26.687,717,7150,0.0,1,example.com
flow_001839,10.216.93.119,20.223.85.20,4444,2024-01-15T01:25:14.037427+0000,487,TCP,0.715,189,283,0.0,1,evil-c2-framework.com
flow_000632,10.157.168.220,34.187.49.144,80,2024-01-15T01:25:18.215545+0000,3918,TCP,1.396,1284,2684,0.0,1,example.com
flow_000633,10.157.168.220,34.187.49.144,80,2024-01-15T01:25:36.435578+0000,9760,TCP,22.06,1448,8148,0.0,1,example.com
flow_000634,10.157.168.220,34.187.49.144,80,2024-01-15T01:25:43.532445+0000,4483,TCP,3.671,576,4086,0.0,1,example.com
flow_001840,10.216.93.119,20.223.85.20,4444,2024-01-15T01:26:14.698986+0000,488,TCP,2.407,162,310,0.0,1,evil-c2-framework.com
flow_001967,10.189.69.205,104.46.215.251,443,2024-01-15T01:26:19.001131+0000,402,TCP,0.232,180,218,0.0,1,sneaky-update-service.com
flow_000635,10.157.168.220,34.187.49.144,80,2024-01-15T01:26:28.038769+0000,4811,TCP,6.783,694,4062,0.0,1,example.com
flow_000636,10.157.168.220,34.187.49.144,80,2024-01-15T01:26:36.780867+0000,1455,TCP,28.998,310,1159,0.0,1,example.com
flow_000637,10.157.168.220,34.187.49.144,80,2024-01-15T01:26:45.507092+0000,8031,TCP,1.928,2453,5970,0.0,0,
flow_001968,10.189.69.205,104.46.215.251,443,2024-01-15T01:26:53.770272+0000,459,TCP,1.222,204,251,0.0,0,
flow_001841,10.216.93.119,20.223.85.20,4444,2024-01-15T01:27:14.708557+0000,496,TCP,1.421,253,234,0.0,0,
flow_001969,10.189.69.205,104.46.215.251,443,2024-01-15T01:27:22.639484+0000,459,TCP,1.425,226,253,0.0,0,
flow_001970,10.189.69.205,104.46.215.251,443,2024-01-15T01:27:58.166785+0000,460,TCP,4.735,177,281,1.0,0,
flow_000638,10.157.168.220,34.187.49.144,80,2024-01-15T01:28:07.227165+0000,9428,TCP,8.838,5303,4230,0.0,1,example.com
flow_000639,10.157.168.220,34.187.49.144,80,2024-01-15T01:28:13.983855+0000,12009,TCP,23.338,2971,9826,0.0,1,example.com
flow_001842,10.216.93.119,20.223.85.20,4444,2024-01-15T01:28:16.928547+0000,492,TCP,1.032,254,235,0.0,0,
flow_000640,10.157.168.220,34.187.49.144,80,2024-01-15T01:28:20.475803+0000,2705,TCP,24.6,729,1913,0.0,1,example.com
flow_000641,10.157.168.220,34.187.49.144,80,2024-01-15T01:28:24.470489+0000,4159,TCP,16.625,978,3214,0.0,1,example.com
flow_001971,10.189.69.205,104.46.215.251,443,2024-01-15T01:28:37.602485+0000,450,TCP,3.052,208,238,0.0,0,
flow_000642,10.157.168.220,34.187.49.144,80,2024-01-15T01:28:54.981988+0000,12278,TCP,1.215,2673,10064,0.0,1,example.com
flow_000643,10.157.168.220,34.187.49.144,80,2024-01-15T01:29:00.627914+0000,6977,TCP,1.463,2439,4489,0.0,1,example.com
flow_000644,10.157.168.220,34.187.49.144,80,2024-01-15T01:29:02.743393+0000,2502,TCP,14.977,1355,1087,0.0,1,example.com
flow_001972,10.189.69.205,104.46.215.251,443,2024-01-15T01:29:10.318378+0000,486,TCP,4.636,183,326,0.0,1,sneaky-update-service.com
flow_001843,10.216.93.119,20.223.85.20,4444,2024-01-15T01:29:16.562367+0000,461,TCP,4.804,208,240,0.0,1,evil-c2-framework.com
flow_001973,10.189.69.205,104.46.215.251,443,2024-01-15T01:29:50.140041+0000,431,TCP,0.836,201,226,1.0,1,sneaky-update-service.com
flow_001844,10.216.93.119,20.223.85.20,4444,2024-01-15T01:30:14.808469+0000,457,TCP,3.545,166,285,0.0,0,
flow_001974,10.189.69.205,104.46.215.251,443,2024-01-15T01:30:24.589328+0000,529,TCP,2.868,249,294,1.0,0,
